COUNTRY,YEAR,GCF_GWTH_PCNT,GDP_PCAP_GWTH_PCNT
Belgium,1992,1.829137475,1.11956586
Belgium,1993,-2.956525218,-1.34799971
Belgium,1994,3.764435394,2.909318769
Belgium,1995,4.113740593,2.170550274
Belgium,1996,0.415438625,1.123669018
Belgium,1997,7.67936209,3.542789064
Belgium,1998,1.535928255,1.744323895
Belgium,1999,3.811360631,3.305706514
Belgium,2000,7.189729001,3.465452571
Belgium,2001,-2.703878446,0.75248291
Belgium,2002,-4.714023168,1.251984606
Belgium,2003,0.303003838,0.61587978
Belgium,2004,10.61884607,3.123928918
Belgium,2005,8.16133495,1.760455594
Belgium,2006,3.692648499,1.8781832
Belgium,2007,8.726584543,2.918338349
Belgium,2008,2.035890933,-0.343452718
Belgium,2009,-8.733766791,-2.80592074
Belgium,2010,2.220629699,1.928764196
Belgium,2011,7.748286982,0.38003457
Belgium,2012,-1.85436044,0.116402578
Belgium,2013,-3.78596619,-0.013148386
Belgium,2014,5.411279127,1.128595725
CzechRepublic,1992,8.300985054,-0.608213656
CzechRepublic,1993,2.895030916,-0.042053082
CzechRepublic,1994,19.8817609,2.872143487
CzechRepublic,1995,20.81626269,6.566133528
CzechRepublic,1996,13.90797923,4.386832731
CzechRepublic,1997,-8.187053131,-0.411069078
CzechRepublic,1998,-3.14360331,-0.262114936
CzechRepublic,1999,-2.57167106,1.487792085
CzechRepublic,2000,10.87298956,4.293071465
CzechRepublic,2001,6.71205414,3.430857546
CzechRepublic,2002,1.473403695,1.76597432
CzechRepublic,2003,0.553814147,3.613338965
CzechRepublic,2004,7.548499155,4.782365794
CzechRepublic,2005,4.377405916,6.454261737
CzechRepublic,2006,9.573601703,6.478203603
CzechRepublic,2007,14.30195614,4.956085333
CzechRepublic,2008,0.915719306,1.838240193
CzechRepublic,2009,-17.6665529,-5.198981919
CzechRepublic,2010,4.205022522,2.136880484
CzechRepublic,2011,1.752536128,1.55018979
CzechRepublic,2012,-4.175144525,-0.92373445
CzechRepublic,2013,-4.241565603,-0.079052895
CzechRepublic,2014,7.146776637,2.154500479
France,1992,-2.600624355,1.095401359
France,1993,-9.792036965,-1.058288111
France,1994,6.890053758,1.978009422
France,1995,3.733085857,1.738505551
France,1996,-3.172364757,1.054560163
France,1997,2.501727167,1.97492975
France,1998,10.3829349,3.20752635
France,1999,7.192169061,2.890692418
France,2000,8.550131286,3.214280673
France,2001,0.743179956,1.24418882
France,2002,-1.962500375,0.402714806
France,2003,0.350623581,0.111081739
France,2004,6.603035615,2.075364595
France,2005,2.840855769,0.89976454
France,2006,3.837267869,1.737540033
France,2007,6.119438972,1.792982211
France,2008,-0.146488632,-0.303759657
France,2009,-13.49810789,-3.371737206
France,2010,3.362429872,1.447008132
France,2011,6.983959102,1.699612965
France,2012,-2.501214295,-0.17120673
France,2013,0.251852805,0.05991638
France,2014,3.238794549,0.479077572
Ireland,1992,-12.64847593,2.640607465
Ireland,1993,-4.1497441,2.180590599
Ireland,1994,12.04447218,5.339771411
Ireland,1995,24.09248254,9.073770228
Ireland,1996,16.0590517,6.526964461
Ireland,1997,18.46231078,9.907158276
Ireland,1998,15.48347578,7.628673291
Ireland,1999,9.167512495,9.283617826
Ireland,2000,6.710295962,7.950754193
Ireland,2001,3.739532886,3.641153981
Ireland,2002,6.0726901,4.126674296
Ireland,2003,9.48420928,1.3452015
Ireland,2004,7.351374349,4.851231497
Ireland,2005,17.73007918,3.457447315
Ireland,2006,8.711645645,2.188033451
Ireland,2007,-1.101626031,2.304713677
Ireland,2008,-13.58856868,-6.414123608
Ireland,2009,-19.46530565,-6.05945253
Ireland,2010,-13.14296527,1.202141007
Ireland,2011,4.395763202,0.628754225
Ireland,2012,16.61485896,-0.474980681
Ireland,2013,-5.929377347,0.73518837
Ireland,2014,26.77225522,7.921896745
Portugal,1992,3.184642118,1.168103297
Portugal,1993,-8.70722416,-2.163020612
Portugal,1994,12.14656874,0.693517391
Portugal,1995,6.016373984,3.922373598
Portugal,1996,4.156157444,3.115805766
Portugal,1997,13.03834225,3.935797957
Portugal,1998,12.33518058,4.279611057
Portugal,1999,7.536630196,3.320509259
Portugal,2000,1.54023906,3.089054048
Portugal,2001,1.869516601,1.227263423
Portugal,2002,-5.663060843,0.220542488
Portugal,2003,-9.853408293,-1.301742086
Portugal,2004,4.747026393,1.545620102
Portugal,2005,-0.575237167,0.595038718
Portugal,2006,-0.198604658,1.441936413
Portugal,2007,3.847321076,2.305552113
Portugal,2008,0.847833585,0.174700555
Portugal,2009,-11.83160796,-3.214389967
Portugal,2010,2.920053789,1.690928415
Portugal,2011,-13.64126268,-1.551468317
Portugal,2012,-17.38533593,-3.667531416
Portugal,2013,-5.05574894,-0.377398249
Portugal,2014,4.065784917,1.337119967
UK,1992,4.074140882,0.129933044
UK,1993,3.765105432,2.2444106
UK,1994,10.37012814,3.581967511
UK,1995,5.10578249,2.26078359
UK,1996,2.417666454,2.168064564
UK,1997,5.358908594,4.63917671
UK,1998,7.952649966,2.853813973
UK,1999,4.347826087,2.647308136
UK,2000,2.018748887,3.302607784
UK,2001,1.707732628,1.680456503
UK,2002,3.110830846,1.691811111
UK,2003,1.956896557,2.551255625
UK,2004,1.411664297,1.774937925
UK,2005,2.995092219,1.891275729
UK,2006,4.99382439,1.832826085
UK,2007,2.386930375,1.476241412
UK,2008,-6.271917508,-1.021703087
UK,2009,-15.31645254,-4.96888827
UK,2010,11.37484787,1.333971159
UK,2011,-0.282566448,0.667756093
UK,2012,3.42504397,0.766760919
UK,2013,7.044558349,1.209899645
UK,2014,12.8324597,2.235458153
USA,1992,5.505542519,2.096612761
USA,1993,5.379421972,1.405708556
USA,1994,9.034862613,2.760882301
USA,1995,2.864560865,1.468718237
USA,1996,7.591727651,2.572259206
USA,1997,9.481793453,3.13259495
USA,1998,8.660396357,3.27052405
USA,1999,7.951287976,3.557193086
USA,2000,6.097963354,2.975208629
USA,2001,-3.99244469,0.003648976
USA,2002,0.472452386,0.802103854
USA,2003,4.131582653,1.980925835
USA,2004,7.824860015,2.84268064
USA,2005,5.609039186,2.563502409
USA,2006,3.057204552,1.867955516
USA,2007,-1.619300781,0.911865594
USA,2008,-6.213792223,-1.076700085
USA,2009,-16.59589497,-3.387435662
USA,2010,10.45754258,1.716400257
USA,2011,4.218059544,0.815453101
USA,2012,7.662970984,1.502187905
USA,2013,4.665742553,1.138896602
USA,2014,4.394881094,1.776837703